,density,material_id,unit_cell_formula
0,4.498783958982692,mp-1206848,"{'Cs': 2.0, 'Tc': 1.0, 'I': 6.0}"
1,4.626790449712139,mp-1206836,"{'Rb': 2.0, 'Tc': 1.0, 'I': 6.0}"
2,4.266311217205068,mp-1205847,"{'Cs': 2.0, 'Pd': 1.0, 'Br': 6.0}"
3,3.375434515526887,mp-1213351,"{'Cs': 4.0, 'Fe': 4.0, 'Br': 16.0}"
4,4.0460015151810556,mp-641923,"{'Cs': 2.0, 'Sn': 1.0, 'Br': 6.0}"
5,4.548495975429054,mp-27832,"{'Tl': 2.0, 'Sn': 1.0, 'Cl': 6.0}"
6,5.019904235147925,mp-23060,"{'Cs': 2.0, 'Pt': 1.0, 'I': 6.0}"
7,4.630451648677471,mp-30062,"{'Cs': 2.0, 'Pt': 1.0, 'Br': 6.0}"
8,3.201793932822785,mp-1209606,"{'Rb': 4.0, 'Fe': 4.0, 'Br': 16.0}"
9,4.480943263943751,mp-7457,"{'Sn': 4.0, 'F': 8.0}"
10,3.6952699580688315,mp-1214168,"{'Cs': 8.0, 'Co': 4.0, 'Br': 16.0}"
11,4.078800973276039,mp-28084,"{'Rb': 2.0, 'Pd': 1.0, 'Br': 6.0}"
12,4.062434808402151,mp-23405,"{'Cs': 2.0, 'Te': 1.0, 'Br': 6.0}"
13,3.6237075474209117,mp-600186,"{'Cs': 8.0, 'Mn': 4.0, 'Br': 16.0}"
14,3.9895464472828737,mp-27662,"{'Cs': 4.0, 'I': 8.0, 'Br': 4.0}"
15,3.97297583242057,mp-579560,"{'Cs': 3.0, 'Sb': 2.0, 'Br': 9.0}"
16,4.000913232180879,mp-27214,"{'Cs': 1.0, 'Sn': 1.0, 'Br': 3.0}"
17,4.333491241485431,mp-27636,"{'Cs': 2.0, 'Sn': 1.0, 'I': 6.0}"
18,4.8013351384426946,mp-30167,"{'Rb': 6.0, 'Os': 4.0, 'Br': 18.0}"
19,3.9853866197594736,mp-22876,"{'Cs': 4.0, 'I': 12.0}"
20,4.30951927195203,mp-29423,"{'Tl': 4.0, 'Fe': 4.0, 'Br': 16.0}"
21,3.8336091522161766,mp-569028,"{'Rb': 2.0, 'Sn': 1.0, 'Br': 6.0}"
22,4.456701372686942,mp-27833,"{'Tl': 2.0, 'Te': 1.0, 'Cl': 6.0}"
23,3.986009555192052,mp-1068340,"{'Cs': 1.0, 'Ge': 1.0, 'Br': 3.0}"
24,4.366848880357585,mp-540957,"{'Cs': 2.0, 'Te': 1.0, 'I': 6.0}"
25,5.181752903858784,mp-31076,"{'Tl': 4.0, 'Te': 2.0, 'Br': 12.0}"
26,4.354763692369664,mp-27336,"{'Cs': 4.0, 'Cu': 4.0, 'Br': 12.0}"
27,6.374011979984669,mp-1201566,"{'Tl': 12.0, 'As': 4.0, 'Se': 16.0}"
28,4.415352070808011,mp-621938,"{'Cs': 6.0, 'Cr': 4.0, 'I': 18.0}"
29,5.130668149006479,mp-569548,"{'Cs': 2.0, 'Au': 2.0, 'Br': 6.0}"
30,3.9322815159702333,mp-569118,"{'Cs': 6.0, 'Mn': 2.0, 'I': 10.0}"
31,4.0086375103595815,mp-569323,"{'Cs': 12.0, 'Co': 4.0, 'I': 20.0}"
32,5.272797428467447,mp-28453,"{'Cs': 2.0, 'Au': 2.0, 'I': 6.0}"
33,3.976185327535978,mp-23451,"{'Cs': 6.0, 'Cr': 4.0, 'Br': 18.0}"
34,3.754616124356974,mp-570324,"{'Rb': 2.0, 'Te': 1.0, 'Br': 6.0}"
35,3.5754026591343084,mp-569152,"{'Sn': 4.0, 'Cl': 8.0}"
36,4.881466736839251,mp-28110,"{'Rb': 2.0, 'Pt': 1.0, 'I': 6.0}"
37,5.24699343278774,mp-27333,"{'Tl': 6.0, 'Co': 2.0, 'Cl': 10.0}"
38,4.332278100414439,mp-27544,"{'Cs': 3.0, 'Bi': 2.0, 'Br': 9.0}"
39,4.295309949562816,mp-28377,"{'Cs': 1.0, 'Ge': 1.0, 'I': 3.0}"
40,3.7770156917855835,mp-29287,"{'Cs': 6.0, 'Co': 2.0, 'Br': 10.0}"
41,3.808470436508565,mp-27517,"{'Rb': 4.0, 'Co': 2.0, 'I': 8.0}"
42,3.645942528299679,mp-1209441,"{'Rb': 4.0, 'Mn': 2.0, 'I': 8.0}"
43,6.559809804492353,mp-1025549,"{'Tl': 3.0, 'V': 1.0, 'Se': 4.0}"
44,4.285005322898856,mp-23029,"{'Cs': 6.0, 'Sb': 4.0, 'I': 18.0}"
45,4.044456429472045,mp-571011,"{'Cs': 4.0, 'I': 16.0}"
46,4.336914902603061,mp-569984,"{'Cs': 12.0, 'Au': 8.0, 'Br': 44.0}"
47,3.0185235164023414,mp-569309,"{'Rb': 6.0, 'Mn': 6.0, 'Cl': 18.0}"
48,3.9086807940941504,mp-568620,"{'Cs': 4.0, 'Fe': 4.0, 'I': 16.0}"
49,4.231861191743006,mp-27409,"{'Rb': 2.0, 'Ni': 2.0, 'Br': 6.0}"
50,4.523940654394849,mp-22991,"{'Cs': 2.0, 'V': 2.0, 'I': 6.0}"
51,3.6824274758834608,mp-27332,"{'Cs': 6.0, 'Mn': 2.0, 'Br': 10.0}"
52,3.971292272431076,mp-28328,"{'Rb': 4.0, 'I': 12.0}"
53,7.714674112607663,mp-1836,"{'Tl': 4.0, 'Se': 4.0}"
54,3.5516467054285883,mp-27641,"{'Cs': 4.0, 'Br': 12.0}"
55,6.624793416474016,mp-1205667,"{'Tl': 3.0, 'Fe': 1.0, 'F': 6.0}"
56,4.208775415856484,mp-1206511,"{'Cs': 2.0, 'Zr': 1.0, 'I': 6.0}"
57,6.406998857133451,mp-1208181,"{'Tl': 4.0, 'Pt': 2.0, 'I': 12.0}"
58,4.920668243174458,mp-1205652,"{'Tl': 2.0, 'Ni': 2.0, 'Cl': 6.0}"
59,4.279745170559026,mp-1206662,"{'Cs': 2.0, 'Ti': 1.0, 'I': 6.0}"
