material_id,band_gap,density,unit_cell_formula
mp-570218,4.8396,0.7736296479348087,"{'Li': 12.0, 'Be': 12.0, 'H': 36.0}"
mp-1192133,6.371,0.6536689696983925,"{'Li': 4.0, 'B': 4.0, 'H': 16.0}"
mp-1198726,5.609,1.1546107546172208,"{'Li': 8.0, 'B': 48.0, 'H': 48.0}"
mp-1200910,2.3082,1.306596154508299,"{'Li': 28.0, 'H': 20.0, 'N': 16.0}"
mp-23702,3.1235,1.1203089345351749,"{'Li': 4.0, 'H': 8.0, 'N': 4.0}"
mp-1201065,2.3794,1.3909694337856977,"{'Li': 30.0, 'H': 18.0, 'N': 16.0}"
mp-30228,1.9363,1.212585780627634,"{'Li': 8.0, 'H': 2.0, 'N': 2.0}"
mp-23856,4.2653,1.3981430842277045,"{'Li': 2.0, 'H': 2.0, 'O': 2.0}"
mp-24199,8.0926,2.1562411515669577,"{'Li': 1.0, 'H': 1.0, 'F': 2.0}"
mp-31096,3.6591,1.0189139515664405,"{'Li': 6.0, 'Al': 2.0, 'H': 12.0}"
mp-30959,3.5474,1.379756762627786,"{'Li': 8.0, 'H': 8.0, 'S': 8.0}"
mp-1095586,4.5701,1.93129797300796,"{'Li': 2.0, 'Ga': 2.0, 'H': 8.0}"
mp-642847,2.3929,2.3522608310179374,"{'Li': 8.0, 'H': 12.0, 'Ru': 2.0}"
mp-697047,0.6897,2.8195937849443515,"{'Li': 6.0, 'H': 8.0, 'Rh': 2.0}"
mp-733455,2.4521,2.5125881292375314,"{'Li': 12.0, 'H': 24.0, 'Rh': 4.0}"
mp-23818,2.5084,3.768358059314554,"{'Ba': 1.0, 'Li': 1.0, 'H': 3.0}"
mp-642996,2.9954,3.690545538740439,"{'Li': 8.0, 'H': 12.0, 'Os': 2.0}"
mp-722890,3.069,4.208059718764376,"{'Li': 12.0, 'H': 24.0, 'Ir': 4.0}"
mp-1078552,3.0845,4.64031291551786,"{'Li': 2.0, 'H': 6.0, 'Pt': 1.0}"
mp-27344,6.1876,0.6024926908335172,"{'Be': 8.0, 'B': 16.0, 'H': 64.0}"
mp-28018,3.3225,1.2561841672296468,"{'Be': 16.0, 'H': 64.0, 'N': 32.0}"
mp-568987,4.6488,1.1404903437030969,"{'Na': 4.0, 'Be': 2.0, 'H': 8.0}"
mp-24341,3.3425,2.114916235490869,"{'Cs': 2.0, 'Be': 2.0, 'H': 6.0}"
mp-1194548,6.0369,0.978998724999214,"{'B': 40.0, 'H': 44.0, 'C': 8.0}"
mp-31064,5.7603,0.8888074468848521,"{'B': 12.0, 'H': 20.0, 'N': 2.0}"
mp-1188579,6.1318,0.7227551663628421,"{'B': 2.0, 'H': 12.0, 'N': 2.0}"
mp-1198592,6.2758,1.9044170578980093,"{'B': 12.0, 'H': 12.0, 'O': 24.0}"
mp-23791,6.2078,1.460451192699211,"{'B': 4.0, 'H': 12.0, 'O': 12.0}"
mp-38725,6.6478,1.1356633464870496,"{'Na': 2.0, 'B': 2.0, 'H': 8.0}"
mp-978278,5.6438,1.227698391528994,"{'Na': 4.0, 'B': 24.0, 'H': 24.0}"
mp-1190942,6.6152,0.5164259720721184,"{'Mg': 2.0, 'B': 4.0, 'H': 16.0}"
mp-569787,6.2431,0.6183652554505286,"{'Al': 4.0, 'B': 12.0, 'H': 48.0}"
mp-37722,6.2677,1.201044523677637,"{'K': 2.0, 'B': 2.0, 'H': 8.0}"
mp-24239,5.6387,1.1658624975815557,"{'K': 2.0, 'B': 12.0, 'H': 12.0}"
mp-1196257,4.8931,1.214086647651796,"{'Ca': 2.0, 'B': 24.0, 'H': 24.0}"
mp-1190619,4.9736,1.066439259571904,"{'Ca': 2.0, 'B': 4.0, 'H': 16.0}"
mp-1191586,4.438,1.0510606790070132,"{'Zn': 2.0, 'B': 4.0, 'H': 16.0}"
mp-30150,4.8964,1.591868367804296,"{'Ga': 6.0, 'B': 6.0, 'H': 36.0}"
mp-30977,3.015,1.55598740647625,"{'B': 40.0, 'H': 48.0, 'Br': 8.0}"
mp-24123,5.6422,1.5995136223934658,"{'Rb': 2.0, 'B': 12.0, 'H': 12.0}"
mp-1219553,6.2124,1.8871350844976256,"{'Rb': 1.0, 'B': 1.0, 'H': 4.0}"
mp-571369,4.5771,1.3791036662903866,"{'Y': 8.0, 'B': 24.0, 'H': 96.0}"
mp-31003,2.3907,1.470529909430403,"{'B': 80.0, 'H': 104.0, 'I': 8.0}"
mp-24136,5.4805,1.8184364600921816,"{'Cs': 2.0, 'B': 12.0, 'H': 12.0}"
mp-1225884,5.8159,2.3720068642921075,"{'Cs': 1.0, 'B': 1.0, 'H': 4.0}"
mp-1203559,5.8199,1.6283248039928062,"{'Ba': 2.0, 'B': 24.0, 'H': 24.0}"
mp-28040,5.9277,1.82046839975172,"{'Hf': 1.0, 'B': 4.0, 'H': 16.0}"
mp-23691,4.6348,2.8632367398873457,"{'Tl': 2.0, 'B': 12.0, 'H': 12.0}"
mp-27350,0.0832,2.702507709435125,"{'U': 4.0, 'B': 16.0, 'H': 64.0}"
mp-505372,0.1219,2.0486822654032526,"{'Np': 2.0, 'B': 8.0, 'H': 32.0}"
mp-1213393,3.6852,1.4413271690425729,"{'H': 54.0, 'C': 36.0, 'N': 66.0}"
mp-1212579,3.4891,1.4004627431262755,"{'H': 24.0, 'C': 24.0, 'N': 40.0}"
