material_id,unit_cell_formula
mp-1025549,"{'Tl': 3.0, 'V': 1.0, 'Se': 4.0}"
mp-614013,"{'Cs': 1.0, 'Sn': 1.0, 'I': 3.0}"
mp-1069538,"{'Cs': 1.0, 'Pb': 1.0, 'I': 3.0}"
mp-600089,"{'Cs': 1.0, 'Pb': 1.0, 'Br': 3.0}"
mp-1367,"{'Mg': 2.0, 'Si': 1.0}"
mp-2534,"{'Ga': 1.0, 'As': 1.0}"
mp-1156,"{'Ga': 1.0, 'Sb': 1.0}"
mp-2490,"{'Ga': 1.0, 'P': 1.0}"
mp-830,"{'Ga': 1.0, 'N': 1.0}"
mp-804,"{'Ga': 2.0, 'N': 2.0}"
mp-2201,"{'Pb': 1.0, 'Se': 1.0}"
mp-19717,"{'Te': 1.0, 'Pb': 1.0}"
mp-1016928,"{'Mg': 1.0, 'Si': 1.0, 'O': 3.0}"
mp-20305,"{'In': 1.0, 'As': 1.0}"
mp-1700,"{'Al': 1.0, 'N': 1.0}"
mp-661,"{'Al': 2.0, 'N': 2.0}"
mp-2542,"{'Be': 2.0, 'O': 2.0}"
mp-1778,"{'Be': 1.0, 'O': 1.0}"
mp-1639,"{'B': 1.0, 'N': 1.0}"
mp-1479,"{'B': 1.0, 'P': 1.0}"
mp-10044,"{'B': 1.0, 'As': 1.0}"
mp-997618,"{'B': 1.0, 'Sb': 1.0}"
mp-149,{'Si': 2.0}
mp-66,{'C': 2.0}
mp-2624,"{'Al': 1.0, 'Sb': 1.0}"
mp-20351,"{'In': 1.0, 'P': 1.0}"
mp-8062,"{'Si': 1.0, 'C': 1.0}"
mp-422,"{'Be': 1.0, 'S': 1.0}"
mp-1541,"{'Be': 1.0, 'Se': 1.0}"
mp-252,"{'Be': 1.0, 'Te': 1.0}"
mp-1002164,"{'Ge': 1.0, 'C': 1.0}"
mp-1317,"{'Co': 4.0, 'Sb': 12.0}"
mp-1239,"{'Sb': 12.0, 'Ir': 4.0}"
